Variable,Pendiente,Intercepto,r,R2
Ilocalizable,0.20029828553576687,-81.72778918730396,0.5881098469551014,0.3458731920855532
No Contesta,0.23493974256526987,-54.37519665186019,0.6448145285788133,0.4157857762663172
D. Incorrectos,0.02076981847758353,-4.214396176258077,0.45300601356149983,0.20521444832288183
Duplicados,0.021791742440687045,5.45955777374283,0.36358440885825455,0.13219362236480647
Efectivos,0.40783245011872216,202.2052774381205,0.8120005679790232,0.6593449223982557
Abiertos,0.29560997680239137,-81.82063109525663,0.5283815171034705,0.279187027616565
Ventas,0.014042286123493446,11.19680443847736,0.5345642831865671,0.2857589728587685
Conversion,-0.000395687199137811,4.587157340746171,-0.13359496002315804,0.017847613343589086
Efectividad de Leads,-0.018450443968990284,82.36006994232338,-0.6537761367375781,0.4274232369675123
